match_id,color,team_id,team_slug,team_name,team_region,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,boost_bpm,boost_bcpm,boost_avg_amount,boost_amount_collected,boost_amount_stolen,boost_amount_collected_big,boost_amount_stolen_big,boost_amount_collected_small,boost_amount_stolen_small,boost_count_collected_big,boost_count_stolen_big,boost_count_collected_small,boost_count_stolen_small,boost_amount_overfill,boost_amount_overfill_stolen,boost_amount_used_while_supersonic,boost_time_zero_boost,boost_time_full_boost,boost_time_boost_0_25,boost_time_boost_25_50,boost_time_boost_50_75,boost_time_boost_75_100,movement_total_distance,movement_time_supersonic_speed,movement_time_boost_speed,movement_time_slow_speed,movement_time_ground,movement_time_low_air,movement_time_high_air,movement_time_powerslide,movement_count_powerslide,positioning_time_defensive_third,positioning_time_neutral_third,positioning_time_offensive_third,positioning_time_defensive_half,positioning_time_offensive_half,positioning_time_behind_ball,positioning_time_in_front_ball,demo_inflicted,demo_taken,score,winner
6183e0f3f8090ec74528ae2c,blue,607d7d97473f172e4c0d3919,https://octane.gg/teams/3919-falcons-esports,FALCONS ESPORTS,Middle East & North Africa,41.0,11.0,23.0,7.0,5228.0,26.82926829268293,5229.0,5410.48515,555.14,33323.0,6570.0,22123.0,3461.0,11200.0,3109.0,261.0,39.0,957.0,265.0,4185.0,343.0,5307.0,616.45,458.62,1811.72,855.4200000000001,739.58,1076.3400000000001,7053679.0,871.72,1915.2199999999998,1779.75,2457.63,1818.63,290.40999999999997,84.86,791.0,2075.44,1519.97,971.23,2888.65,1677.95,3431.5899999999997,1135.09,15.0,15.0,4.0,True
6183e0f3f8090ec74528ae2c,orange,607d7d97473f172e4c0d391a,https://octane.gg/teams/391a-the-ultimates,THE ULTIMATES,Middle East & North Africa,32.0,4.0,26.0,3.0,4287.0,12.5,5390.0,5492.85096,558.99,33993.0,5676.0,24402.0,3539.0,9591.0,2137.0,281.0,39.0,813.0,177.0,3357.0,388.0,5079.0,656.4300000000001,320.56,1785.61,1019.3199999999999,719.96,956.22,6833682.0,765.3999999999999,1830.58,1969.71,2539.99,1753.1899999999998,272.55,99.35000000000001,894.0,2409.51,1434.4099999999999,721.79,3249.4300000000003,1316.26,3353.7,1211.99,15.0,15.0,0.0,False
6183e0f3f8090ec74528ae2d,blue,6020bfd8f1e4807cc701ad54,https://octane.gg/teams/ad54-sandrock-gaming,SANDROCK GAMING,Middle East & North Africa,46.0,12.0,16.0,9.0,4972.0,26.08695652173913,5183.0,5356.94406,643.76,29107.0,6447.0,20975.0,3761.0,8132.0,2686.0,259.0,46.0,720.0,218.0,5467.0,947.0,4029.0,412.36,570.58,1173.1100000000001,813.24,608.6,1352.32,6160656.0,717.56,1707.67,1589.3899999999999,2223.62,1512.52,278.49,76.42,665.0,1617.0400000000002,1401.12,996.4700000000001,2334.13,1680.48,3073.6899999999996,940.9399999999999,13.0,12.0,4.0,True
6183e0f3f8090ec74528ae2d,orange,6020c2a9f1e4807cc702a73d,https://octane.gg/teams/a73d-sleeping,SLEEPING,Middle East & North Africa,24.0,1.0,27.0,1.0,3787.0,4.166666666666666,4910.0,4777.01171,533.26,25970.0,4583.0,17568.0,2671.0,8402.0,1912.0,202.0,29.0,707.0,150.0,2757.0,264.0,4059.0,651.62,395.9,1706.67,733.04,563.5799999999999,815.74,5878477.0,630.67,1587.0800000000002,1785.31,2155.22,1579.8,268.03,79.22,604.0,2240.55,1160.88,601.62,2902.04,1100.98,2842.7799999999997,1160.26,12.0,13.0,0.0,False
6183e0f3f8090ec74528ae2e,blue,6161c107143c37878b23895e,https://octane.gg/teams/895e-hawks-esports,HAWKS ESPORTS,Middle East & North Africa,33.0,3.0,26.0,3.0,4527.0,9.090909090909092,5331.0,5357.83129,530.6,36348.0,6683.0,25671.0,3951.0,10677.0,2732.0,292.0,45.0,900.0,241.0,3697.0,576.0,5576.0,814.69,367.8,2184.44,967.4000000000001,729.6700000000001,1016.47,7591160.0,891.23,2077.25,2063.22,2659.01,2032.0200000000002,340.65000000000003,108.32,985.0,2362.05,1679.9800000000002,989.6399999999999,3260.8,1770.8899999999999,3555.9300000000003,1475.78,12.0,13.0,0.0,False
6183e0f3f8090ec74528ae2e,orange,607d7d97473f172e4c0d3919,https://octane.gg/teams/3919-falcons-esports,FALCONS ESPORTS,Middle East & North Africa,45.0,14.0,23.0,10.0,6046.0,31.11111111111111,5121.0,5285.83141,544.3299999999999,35793.0,7579.0,24498.0,4378.0,11295.0,3201.0,289.0,50.0,984.0,265.0,4567.0,668.0,5911.0,739.49,486.54999999999995,2116.06,1033.05,767.8100000000001,1051.0,7746585.0,976.3400000000001,2077.75,1986.0099999999998,2738.67,1985.42,315.99,100.32,939.0,2423.2699999999995,1603.0700000000002,1013.7200000000001,3281.23,1758.77,3775.73,1264.34,13.0,12.0,4.0,True
6183e0f3f8090ec74528ae2f,blue,6020bfd8f1e4807cc701ad54,https://octane.gg/teams/ad54-sandrock-gaming,SANDROCK GAMING,Middle East & North Africa,71.0,17.0,29.0,14.0,7753.0,23.943661971830984,9004.0,9282.17657,1063.48,53398.0,12077.0,37413.0,7661.0,15985.0,4416.0,446.0,87.0,1428.0,398.0,7915.0,1174.0,7994.0,863.6199999999999,826.8799999999999,2478.98,1559.6,1191.3600000000001,2079.0199999999995,11279951.0,1357.6399999999999,3043.25,3058.16,4145.07,2808.19,505.74000000000007,146.57999999999998,1295.0,3378.25,2549.37,1531.41,4742.86,2716.2,5528.2,1930.84,19.0,31.0,4.0,True
6183e0f3f8090ec74528ae2f,orange,607d7d97473f172e4c0d3919,https://octane.gg/teams/3919-falcons-esports,FALCONS ESPORTS,Middle East & North Africa,51.0,12.0,44.0,10.0,7903.0,23.52941176470588,9025.0,9276.07834,977.36,53495.0,10699.0,36534.0,6087.0,16961.0,4612.0,431.0,69.0,1482.0,388.0,6489.0,821.0,9246.0,976.9,621.1299999999999,2909.3,1625.68,1230.06,1577.4099999999999,11209150.0,1310.2,3004.46,3169.5,4162.599999999999,2842.7,478.90000000000003,149.54,1356.0,3806.04,2331.46,1346.65,5042.860000000001,2441.31,5402.48,2081.69,31.0,19.0,3.0,False
6183e0f3f8090ec74528ae30,blue,6020bfd8f1e4807cc701ad54,https://octane.gg/teams/ad54-sandrock-gaming,SANDROCK GAMING,Middle East & North Africa,38.0,12.0,18.0,9.0,5137.0,31.57894736842105,4981.0,5166.0592799999995,612.44,29748.0,7393.0,20873.0,4642.0,8875.0,2751.0,256.0,55.0,809.0,243.0,5076.0,951.0,4473.0,458.48,513.81,1381.3300000000002,967.4599999999999,609.83,1219.9,6409198.0,777.77,1691.3899999999999,1796.2499999999998,2328.5099999999998,1680.8600000000001,256.07,78.10000000000001,686.0,1959.8700000000001,1418.81,886.7299999999999,2707.05,1558.38,3247.75,1017.69,13.0,16.0,4.0,True
6183e0f3f8090ec74528ae30,orange,607d7d97473f172e4c0d3919,https://octane.gg/teams/3919-falcons-esports,FALCONS ESPORTS,Middle East & North Africa,25.0,5.0,18.0,4.0,3818.0,20.0,5104.0,5154.85897,561.33,29634.0,6868.0,20593.0,4334.0,9041.0,2534.0,243.0,52.0,782.0,214.0,3612.0,808.0,4894.0,497.71,350.44000000000005,1597.7399999999998,922.6100000000001,684.3199999999999,942.6200000000001,6438958.0,801.1400000000001,1710.18,1764.87,2320.1000000000004,1721.1499999999999,234.92000000000002,78.0,722.0,2216.95,1275.16,784.0800000000002,2894.13,1382.05,2994.68,1281.51,16.0,13.0,0.0,False
